Interatomic distances:
52 32 2.800319
52 33 10.792441
52 34 7.184840
52 35 9.768445
52 36 8.506565
52 37 8.869521
52 38 5.363075
52 39 10.604215
52 40 2.826473
52 41 11.694319
52 42 4.129502
52 43 11.311142
52 44 6.810438
52 45 7.538656
52 46 9.819943
52 47 9.432682
52 48 5.633143
52 49 9.463883
52 50 2.937651
52 51 10.843687
53 0 5.076476
53 1 9.498117
53 2 5.468595
53 3 7.118348
53 4 5.571546
53 5 8.705080
53 6 2.837527
53 7 9.908240
53 8 4.174343
53 9 9.362838
53 10 7.673289
53 11 6.770522
53 12 7.214597
53 13 7.364146
53 14 6.689425
53 15 4.609888
53 16 8.188705
53 17 5.454714
53 18 7.599235
53 19 4.776651
53 20 9.576908
53 21 2.718983
53 22 10.223140
53 23 6.756738
53 24 8.208328
53 25 5.383366
53 26 9.089049
53 27 6.684824
53 28 8.330367
53 29 7.416941
53 30 8.705251
53 31 2.783589
53 32 10.978694
53 33 4.924575
53 34 10.049844
53 35 6.646140
53 36 8.997182
53 37 5.306203
53 38 9.980123
53 39 4.417216
53 40 11.296517
53 41 3.065998
53 42 11.709169
53 43 5.794118
53 44 10.587049
53 45 9.247681
53 46 7.817660
53 47 7.105942
53 48 9.872388
53 49 5.833849
53 50 10.945098
53 51 3.098316
53 52 11.925009
54 0 9.498117
54 1 5.076476
54 2 7.118348
54 3 5.468595
54 4 8.705088
54 5 5.571554
54 6 9.908240
54 7 2.837527
54 8 9.362838
54 9 4.174343
54 10 6.770534
54 11 7.673289
54 12 7.364156
54 13 7.214603
54 14 6.689425
54 15 8.188703
54 16 4.609882
54 17 7.599235
54 18 5.454714
54 19 9.576917
54 20 4.776657
54 21 10.223138
54 22 2.718977
54 23 8.208323
54 24 6.756737
54 25 9.089049
54 26 5.383366
54 27 8.330376
54 28 6.684831
54 29 8.705258
54 30 7.416949
54 31 10.978694
54 32 2.783589
54 33 10.049842
54 34 4.924572
54 35 8.997182
54 36 6.646140
54 37 9.980133
54 38 5.306206
54 39 11.296519
54 40 4.417228
54 41 11.709164
54 42 3.066005
54 43 10.587056
54 44 5.794125
54 45 7.817660
54 46 9.247681
54 47 9.872394
54 48 7.105950
54 49 10.945097
54 50 5.833843
54 51 11.925015
54 52 3.098320
54 53 12.361980
55 0 4.834843
55 1 9.564192
55 2 5.374880
55 3 7.131369
55 4 6.552765
55 5 9.467528
55 6 3.904609
55 7 9.860880
55 8 2.779974
55 9 8.617151
55 10 7.240700
55 11 5.509658
55 12 7.912695
55 13 7.224831
55 14 7.592722
55 15 5.473251
55 16 8.093393
55 17 4.637868
55 18 6.577326
55 19 6.691172
55 20 10.210020
55 21 2.855037
55 22 9.460359
55 23 4.710378
55 24 6.726110
55 25 5.584747
55 26 8.166985
55 27 8.232011
55 28 8.996066
55 29 8.990039
55 30 10.130352
55 31 5.034879
55 32 10.888772
55 33 2.880273
55 34 8.570571
55 35 5.426317
55 36 7.235296
55 37 6.861459
55 38 9.842457
55 39 5.654320
55 40 11.719788
55 41 2.822730
55 42 11.341151
55 43 4.069038
55 44 9.949897
55 45 9.427922
55 46 6.962375
55 47 7.503499
55 48 10.695440
55 49 7.803567
55 50 11.936878
55 51 5.603949
55 52 12.236126
55 53 2.951360
55 54 11.918572
56 0 9.564188
56 1 4.834841
56 2 7.131365
56 3 5.374877
56 4 9.467534
56 5 6.552773
56 6 9.860875
56 7 3.904614
56 8 8.617143
